Surf Spot,Month,SST (Â°C)
Arugam Bay,2025-01,2737.0
Dalawella,2025-01,2818.0
Devils rock,2025-01,2818.0
"Dewata, Galle",2025-01,2851.0
Elephant rock,2025-01,2737.0
Hikkaduwa,2025-01,2851.0
Hiriketiya,2025-01,2801.0
Bentota,2025-01,2856.0
Koggala Lefts,2025-01,2818.0
Ahangama,2025-01,2818.0
Madiha,2025-01,2801.0
Matara,2025-01,2801.0
Midigama Left (market),2025-01,2818.0
Midigama Right,2025-01,2818.0
Mirissa,2025-01,2818.0
Okanda,2025-01,2730.0
Peanuts Farm,2025-01,2737.0
Pottuvil Point,2025-01,2737.0
Rockside Induruwa,2025-01,2856.0
South Beach,2025-01,2818.0
Thalpe,2025-01,2818.0
Thalyadi,2025-01,2738.0
Unawatuna,2025-01,2849.058551617874
Weligama,2025-01,2818.0
Whiskey Point,2025-01,2737.0
